Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Jesse Puljujarvi,PIT,R,R,1998-05-07,Alvkarleby,--,SWE,FIN,76,216,2016,1,4,20162017,N,12,1,5,6
Taylor Raddysh,WSH,R,R,1998-02-18,Caledon,ON,CAN,CAN,75,198,2016,2,58,20212022,N,12,2,3,5
Pierre-Luc Dubois,WSH,L,L,1998-06-24,Ste-Agathe-des-Monts,QC,CAN,CAN,76,225,2016,1,3,20172018,N,12,1,6,7
Nathan Bastian,NJD,R,R,1997-12-06,Kitchener,ON,CAN,CAN,76,205,2016,2,41,20182019,N,12,2,3,5
Filip Hronek,VAN,R,D,1997-11-02,Hradec Kralove,--,CZE,CZE,72,190,2016,2,53,20182019,N,12,0,4,4
Brandon Duhaime,WSH,L,R,1997-05-22,Coral Springs,FL,USA,USA,74,200,2016,4,106,20212022,N,12,2,2,4
Mathieu Olivier,CBJ,R,R,1997-02-11,Biloxi,MS,USA,USA,73,226,--,--,--,20192020,N,12,4,2,6
Zack MacEwen,OTT,R,R,1996-07-08,Charlottetown,PE,CAN,CAN,76,227,--,--,--,20182019,N,12,2,1,3
Juuso Valimaki,UTA,L,D,1998-10-06,Tampere,--,FIN,FIN,76,221,2017,1,16,20182019,N,12,0,0,0
Conor Timmins,TOR,R,D,1998-09-18,St. Catharines,ON,CAN,CAN,75,213,2017,2,32,20192020,N,12,0,3,3
Michael Rasmussen,DET,L,C,1999-04-17,Surrey,BC,CAN,CAN,78,220,2017,1,9,20182019,N,12,2,2,4
Elias Pettersson,VAN,L,C,1998-11-12,Sundsvall,--,SWE,SWE,74,176,2017,1,5,20182019,N,12,2,3,5
Jason Robertson,DAL,L,L,1999-07-22,Arcadia,CA,USA,USA,75,207,2017,2,39,20192020,N,12,4,3,7
Henri Jokiharju,BUF,R,D,1999-06-17,Oulu,--,FIN,FIN,72,200,2017,1,29,20182019,N,12,1,2,3
Miro Heiskanen,DAL,L,D,1999-07-18,Espoo,--,FIN,FIN,74,197,2017,1,3,20182019,N,12,0,4,4
Martin Necas,CAR,R,C,1999-01-15,Nove Mesto na Morave,--,CZE,CZE,75,195,2017,1,12,20172018,N,12,7,14,21
Ryan Poehling,PHI,L,C,1999-01-03,Lakeville,MN,USA,USA,74,204,2017,1,25,20182019,N,12,0,5,5
Filip Chytil,NYR,L,C,1999-09-05,Kromeriz,--,CZE,CZE,74,210,2017,1,21,20172018,N,12,4,4,8
Alexey Toropchenko,STL,L,R,1999-06-25,Moscow,--,RUS,RUS,78,222,2017,4,113,20212022,N,12,1,1,2
Sean Walker,CAR,R,D,1994-11-13,Keswick,ON,CAN,CAN,71,191,--,--,--,20182019,N,12,1,0,1
Kiefer Sherwood,VAN,R,L,1995-03-31,Columbus,OH,USA,USA,72,194,--,--,--,20182019,N,12,3,4,7
Eric Robinson,CAR,L,L,1995-06-14,Bellmawr,NJ,USA,USA,74,211,--,--,--,20172018,N,12,3,4,7
Martin Fehervary,WSH,L,D,1999-10-06,Bratislava,--,SVK,SVK,74,199,2018,2,46,20192020,N,12,0,2,2
Quinn Hughes,VAN,L,D,1999-10-14,Orlando,FL,USA,USA,70,180,2018,1,7,20182019,N,12,3,11,14
Mattias Samuelsson,BUF,L,D,2000-03-14,Philadelphia,PA,USA,USA,76,227,2018,2,32,20202021,N,12,1,0,1
Joe Veleno,DET,L,C,2000-01-13,Montréal,QC,CAN,CAN,73,201,2018,1,30,20202021,N,12,1,1,2
K'Andre Miller,NYR,L,D,2000-01-21,St. Paul,MN,USA,USA,77,210,2018,1,22,20202021,N,12,1,1,2
Jesperi Kotkaniemi,CAR,L,C,2000-07-06,Pori,--,FIN,FIN,75,203,2018,1,3,20182019,N,12,1,7,8
Andrei Svechnikov,CAR,L,R,2000-03-26,Barnaul,--,RUS,RUS,75,199,2018,1,2,20182019,N,12,5,8,13
Ty Emberson,EDM,R,D,2000-05-23,Eau Claire,WI,USA,USA,74,193,2018,3,73,20232024,N,12,0,0,0
Jack Drury,CAR,L,C,2000-02-03,New York,NY,USA,USA,71,186,2018,2,42,20212022,N,12,1,3,4
Rasmus Sandin,WSH,L,D,2000-03-07,Uppsala,--,SWE,SWE,71,182,2018,1,29,20192020,N,12,0,5,5
Kirill Marchenko,CBJ,R,R,2000-07-21,Barnaul,--,RUS,RUS,75,197,2018,2,49,20222023,N,12,5,8,13
Ilya Lyubushkin,DAL,R,D,1994-04-06,Moscow,--,RUS,RUS,74,200,--,--,--,20182019,N,12,0,3,3
Pontus Holmberg,TOR,L,R,1999-03-09,Vasteras,--,SWE,SWE,72,201,2018,6,156,20222023,N,12,0,1,1
Jonatan Berggren,DET,L,R,2000-07-16,Uppsala,--,SWE,SWE,71,197,2018,2,33,20222023,N,12,0,1,1
Jack St. Ivany,PIT,R,D,1999-07-22,Manhattan Beach,CA,USA,USA,76,205,2018,4,112,20232024,N,12,0,0,0
Jake Christiansen,CBJ,L,D,1999-09-12,West Vancouver,BC,CAN,CAN,72,197,--,--,--,20212022,N,12,0,4,4
Trevor Zegras,ANA,L,C,2001-03-20,Bedford,NY,USA,USA,72,185,2019,1,9,20202021,N,12,1,2,3
Nils Hoglander,VAN,L,L,2000-12-20,Bockträsk,--,SWE,SWE,69,185,2019,2,40,20202021,N,12,2,3,5
Moritz Seider,DET,R,D,2001-04-06,Zell,--,DEU,DEU,75,205,2019,1,6,20212022,N,12,1,7,8
Kaapo Kakko,NYR,L,R,2001-02-13,Turku,--,FIN,FIN,73,215,2019,1,2,20192020,N,12,1,6,7
Connor McMichael,WSH,L,C,2001-01-15,Ajax,ON,CAN,CAN,72,180,2019,1,25,20202021,N,12,8,5,13
Thomas Harley,DAL,L,D,2001-08-19,Syracuse,NY,USA,USA,75,211,2019,1,18,20212022,N,12,1,5,6
Nicholas Robertson,TOR,L,L,2001-09-11,Pasadena,CA,USA,USA,69,178,2019,2,53,20202021,N,12,1,0,1
Philip Broberg,STL,L,D,2001-06-25,Orebro,--,SWE,SWE,76,212,2019,1,8,20212022,N,12,2,7,9
Vladislav Kolyachonok,UTA,L,D,2001-05-26,Minsk,--,BLR,BLR,74,195,2019,2,52,20212022,N,12,1,3,4
Aliaksei Protas,WSH,L,C,2001-01-06,Vitebsk,--,BLR,BLR,78,225,2019,3,91,20212022,N,12,5,7,12
Adam Edstrom,NYR,L,C,2000-10-12,Karlstad,--,SWE,SWE,78,241,2019,6,161,20232024,N,12,1,1,2
Andre Lee,LAK,L,L,2000-07-26,Karlstad,--,SWE,SWE,77,206,2019,7,188,20242025,N,12,0,2,2
Braden Schneider,NYR,R,D,2001-09-20,Prince Albert,SK,CAN,CAN,76,213,2020,1,19,20212022,N,12,2,3,5
Lucas Raymond,DET,R,L,2002-03-28,Gothenburg,--,SWE,SWE,71,188,2020,1,4,20212022,N,12,1,11,12
Seth Jarvis,CAR,R,C,2002-02-01,Winnipeg,MB,CAN,CAN,70,184,2020,1,13,20212022,N,12,4,5,9
Alexis Lafrenière,NYR,L,L,2001-10-11,St-Eustache,QC,CAN,CAN,74,196,2020,1,1,20202021,N,12,5,5,10
Will Cuylle,NYR,L,L,2002-02-05,Toronto,ON,CAN,CAN,75,212,2020,2,60,20222023,N,12,4,5,9
JJ Peterka,BUF,L,R,2002-01-14,Munich,--,DEU,DEU,72,189,2020,2,34,20212022,N,12,6,6,12
Mikael Pyyhtia,CBJ,L,L,2001-12-17,Turku,--,FIN,FIN,72,176,2020,4,114,20222023,N,12,1,0,1
Yegor Chinakhov,CBJ,L,R,2001-02-01,Omsk,--,RUS,RUS,73,201,2020,1,21,20212022,N,12,3,6,9
Daniil Miromanov,CGY,R,D,1997-07-11,Moscow,--,RUS,RUS,76,207,--,--,--,20212022,N,12,0,2,2
Nolan Allan,CHI,L,D,2003-04-28,Saskatoon,SK,CAN,CAN,74,195,2021,1,32,20242025,N,12,0,3,3
Logan Stankoven,DAL,R,C,2003-02-26,Kamloops,BC,CAN,CAN,68,165,2021,2,47,20232024,N,12,2,10,12
Cole Sillinger,CBJ,L,C,2003-05-16,Columbus,OH,USA,USA,73,202,2021,1,12,20212022,N,12,2,6,8
Zack Bolduc,STL,L,C,2003-02-24,Trois-Rivières,QC,CAN,CAN,72,187,2021,1,17,20232024,N,12,0,4,4
Wyatt Johnston,DAL,R,C,2003-05-14,Toronto,ON,CAN,CAN,73,185,2021,1,23,20222023,N,12,1,5,6
Mason McTavish,ANA,L,C,2003-01-30,Zurich,--,CHE,CAN,73,219,2021,1,3,20212022,N,12,1,6,7
Simon Edvinsson,DET,L,D,2003-02-05,Kungsbacka,--,SWE,SWE,78,209,2021,1,6,20222023,N,12,1,4,5
Oliver Kapanen,MTL,R,C,2003-07-29,Timra,--,SWE,FIN,74,194,2021,2,64,20242025,N,12,0,2,2
Jackson Blake,CAR,R,R,2003-08-03,Fargo,ND,USA,USA,71,178,2021,4,109,20232024,N,12,4,2,6
Cutter Gauthier,ANA,L,L,2004-01-19,Skelleftea,--,SWE,USA,74,201,2022,1,5,20232024,N,12,0,4,4
Leo Carlsson,ANA,L,C,2004-12-26,Karlstad,--,SWE,SWE,75,203,2023,1,2,20232024,N,12,4,2,6
Adam Fantilli,CBJ,L,C,2004-10-12,Nobleton,ON,CAN,CAN,74,199,2023,1,3,20232024,N,12,3,3,6
Will Smith,SJS,R,C,2005-03-17,Boston,MA,USA,USA,72,181,2023,1,4,20242025,N,12,2,1,3
Jack Johnson,CBJ,L,D,1987-01-13,Indianapolis,IN,USA,USA,74,225,2005,1,3,20062007,N,11,0,1,1
Ryan Reaves,TOR,R,R,1987-01-20,Winnipeg,MB,CAN,CAN,74,225,2005,5,156,20102011,N,11,0,0,0
James van Riemsdyk,CBJ,L,L,1989-05-04,Middletown,NJ,USA,USA,75,209,2007,1,2,20092010,N,11,2,2,4
Max Pacioretty,TOR,L,L,1988-11-20,New Canaan,CT,USA,USA,74,217,2007,1,22,20082009,N,11,2,4,6
Cam Atkinson,TBL,R,R,1989-06-05,Riverside,CT,USA,USA,68,178,2008,6,157,20112012,N,11,0,1,1
Vladimir Tarasenko,DET,L,R,1991-12-13,Yaroslavl,--,RUS,RUS,73,219,2010,1,16,20122013,N,11,2,1,3
Mike Reilly,NYI,L,D,1993-07-13,Chicago,IL,USA,USA,74,191,2011,4,98,20152016,N,11,0,0,0
Brandon Saad,STL,L,L,1992-10-27,Pittsburgh,PA,USA,USA,73,215,2011,2,43,20112012,N,11,2,3,5
Olli Maatta,UTA,L,D,1994-08-22,Jyväskylä,--,FIN,FIN,74,207,2012,1,22,20132014,N,11,0,0,0
Adam Pelech,NYI,L,D,1994-08-16,Toronto,ON,CAN,CAN,75,210,2012,3,65,20152016,N,11,0,4,4
J.T. Compher,DET,R,L,1995-04-08,Northbrook,IL,USA,USA,72,190,2013,2,35,20162017,N,11,3,2,5
Justin Kirkland,CGY,L,C,1996-08-02,Winnipeg,MB,CAN,CAN,75,183,2014,3,62,20222023,N,11,1,5,6
Frank Vatrano,ANA,L,R,1994-03-14,East Longmeadow,MA,USA,USA,71,206,--,--,--,20152016,N,11,1,3,4
Connor McDavid,EDM,L,C,1997-01-13,Richmond Hill,ON,CAN,CAN,73,194,2015,1,1,20152016,N,11,3,7,10
Christian Fischer,DET,R,R,1997-04-15,Chicago,IL,USA,USA,74,212,2015,2,32,20162017,N,11,1,1,2
Joel Eriksson Ek,MIN,L,C,1997-01-29,Karlstad,--,SWE,SWE,75,207,2015,1,20,20162017,N,11,5,2,7
Mason Marchment,DAL,L,L,1995-06-18,Uxbridge,ON,CAN,CAN,77,212,--,--,--,20192020,N,11,2,6,8
Sam Steel,DAL,L,C,1998-02-03,Ardrossan,AB,CAN,CAN,72,189,2016,1,30,20182019,N,11,2,3,5
Zachary Aston-Reese,CBJ,L,C,1994-08-10,Staten Island,NY,USA,USA,73,200,--,--,--,20172018,N,11,2,2,4
Morgan Geekie,BOS,R,C,1998-07-20,Strathclair,MB,CAN,CAN,75,202,2017,3,67,20192020,N,11,0,2,2
Nick Perbix,TBL,R,D,1998-06-15,Elk River,MN,USA,USA,76,206,2017,6,169,20222023,N,11,1,3,4
Pius Suter,VAN,L,C,1996-05-24,Zurich,--,CHE,CHE,71,179,--,--,--,20202021,N,11,4,1,5
Ty Dellandrea,SJS,R,C,2000-07-21,Port Perry,ON,CAN,CAN,74,190,2018,1,13,20202021,N,11,1,0,1
Nils Lundkvist,DAL,R,D,2000-07-27,Pitea,--,SWE,SWE,73,191,2018,1,28,20212022,N,11,0,1,1
Bobby Brink,PHI,R,R,2001-07-08,Minnetonka,MN,USA,USA,68,169,2019,2,34,20212022,N,11,2,3,5
Lukas Reichel,CHI,L,L,2002-05-17,Nürnberg,--,DEU,DEU,72,170,2020,1,17,20212022,N,11,1,5,6
Mason Lohrei,BOS,L,D,2001-01-17,Baton Rouge,LA,USA,USA,77,211,2020,2,58,20232024,N,11,1,3,4
Matthew Kessel,STL,R,D,2000-06-23,Bloomfield Hills,MI,USA,USA,74,205,2020,5,150,20222023,N,11,0,1,1
Olen Zellweger,ANA,L,D,2003-09-10,Calgary,AB,CAN,CAN,70,187,2021,2,34,20232024,N,11,2,2,4
Emil Lilleberg,TBL,L,D,2001-02-02,Sarpsborg,--,NOR,NOR,75,208,2021,4,107,20232024,N,11,0,3,3
Arber Xhekaj,MTL,L,D,2001-01-30,Hamilton,ON,CAN,CAN,76,240,--,--,--,20222023,N,11,0,0,0
Pavel Mintyukov,ANA,L,D,2003-11-25,Moscow,--,RUS,RUS,73,200,2022,1,10,20232024,N,11,2,0,2
Juraj Slafkovsky,MTL,L,L,2004-03-30,Kosice,--,SVK,SVK,75,225,2022,1,1,20222023,N,11,1,7,8
Erik Johnson,PHI,R,D,1988-03-21,Bloomington,MN,USA,USA,76,225,2006,1,1,20072008,N,10,0,1,1
Jon Merrill,MIN,L,D,1992-02-03,Oklahoma City,OK,USA,USA,75,204,2010,2,38,20132014,N,10,0,1,1
Dylan McIlrath,WSH,R,D,1992-04-20,Winnipeg,MB,CAN,CAN,77,232,2010,1,10,20132014,N,10,0,2,2
Miles Wood,COL,L,L,1995-09-13,Buffalo,NY,USA,USA,74,195,2013,4,100,20152016,N,10,1,0,1
Devon Toews,COL,L,D,1994-02-21,Abbotsford,BC,CAN,CAN,73,191,2014,4,108,20182019,N,10,0,2,2
Mathew Barzal,NYI,R,C,1997-05-26,Coquitlam,BC,CAN,CAN,73,190,2015,1,16,20162017,N,10,2,3,5
Logan Stanley,WPG,L,D,1998-05-26,Waterloo,ON,CAN,CAN,79,231,2016,1,18,20202021,N,10,1,2,3
Troy Stecher,EDM,R,D,1994-04-07,Richmond,BC,CAN,CAN,70,184,--,--,--,20162017,N,10,0,0,0
Ross Colton,COL,L,C,1996-09-11,Robbinsville,NJ,USA,USA,72,194,2016,4,118,20202021,N,10,8,1,9
Pierre-Olivier Joseph,STL,L,D,1999-07-01,Laval,QC,CAN,CAN,74,185,2017,1,23,20202021,N,10,0,1,1
Noah Cates,PHI,L,L,1999-02-05,Stillwater,MN,USA,USA,74,194,2017,5,137,20212022,N,10,0,1,1
Oliver Wahlstrom,NYI,R,R,2000-06-13,Portland,ME,USA,USA,74,205,2018,1,11,20192020,N,10,1,0,1
Isac Lundestrom,ANA,L,C,1999-11-06,Gallivare,--,SWE,SWE,72,191,2018,1,23,20182019,N,10,1,1,2
Egor Zamula,PHI,L,D,2000-03-30,Chelyabinsk,--,RUS,RUS,75,200,--,--,--,20202021,N,10,0,2,2
Cole Schwindt,VGK,R,R,2001-04-25,Kitchener,ON,CAN,CAN,74,203,2019,3,81,20212022,N,10,0,3,3
Ridly Greig,OTT,L,C,2002-08-08,Lethbridge,AB,CAN,CAN,72,188,2020,1,28,20222023,N,10,2,0,2
Danil Gushchin,SJS,L,L,2002-02-06,Yekaterinburg,--,RUS,RUS,68,165,2020,3,76,20222023,N,10,0,1,1
Hendrix Lapierre,WSH,L,C,2002-02-09,Gatineau,QC,CAN,CAN,72,180,2020,1,22,20212022,N,10,0,1,1
Jeff Petry,DET,R,D,1987-12-09,Ann Arbor,MI,USA,USA,75,208,2006,2,45,20102011,N,9,0,1,1
Chris Wagner,COL,R,R,1991-05-27,Walpole,MA,USA,USA,72,192,2010,5,122,20142015,N,9,1,0,1
Nick Seeler,PHI,L,D,1993-06-03,Eden Prairie,MN,USA,USA,75,197,2011,5,131,20172018,N,9,1,2,3
Nathan Walker,STL,L,L,1994-02-07,Cardiff,--,GBR,AUS,69,187,2014,3,89,20172018,N,9,1,2,3
Jakub Vrana,WSH,L,L,1996-02-28,Prague,--,CZE,CZE,72,190,2014,1,13,20162017,N,9,2,2,4
Kevin Labanc,CBJ,R,R,1995-12-12,Brooklyn,NY,USA,USA,71,185,2014,6,171,20162017,N,9,1,5,6
Daniel Sprong,VAN,R,R,1997-03-17,Amsterdam,--,NLD,CAN,72,195,2015,2,46,20152016,N,9,1,2,3
Mathieu Joseph,STL,L,R,1997-02-09,Laval,QC,CAN,CAN,73,186,2015,4,120,20182019,N,9,2,2,4
Matthew Tkachuk,FLA,L,L,1997-12-11,Scottsdale,AZ,USA,USA,74,202,2016,1,6,20162017,N,9,4,6,10
Joshua Mahura,SEA,L,D,1998-05-05,St. Albert,AB,CAN,CAN,72,193,2016,3,85,20182019,N,9,0,1,1
Justin Danforth,CBJ,R,R,1993-03-15,Oshawa,ON,CAN,CAN,68,188,--,--,--,20212022,N,9,2,2,4
Nicolas Hague,VGK,L,D,1998-12-05,Kitchener,ON,CAN,CAN,78,245,2017,2,34,20192020,N,9,1,0,1
Erik Brannstrom,VAN,L,D,1999-09-02,Eksjo,--,SWE,SWE,70,185,2017,1,15,20182019,N,9,0,2,2
Alexandre Texier,STL,L,C,1999-09-13,Saint-Martin-d'Hères,--,FRA,FRA,73,201,2017,2,45,20182019,N,9,1,2,3
Patrick Giles,FLA,R,R,2000-01-03,Chevy Chase,MD,USA,USA,77,218,--,--,--,20242025,N,9,0,0,0
Oskar Bäck,DAL,L,C,2000-03-12,Karlstad,--,SWE,SWE,76,202,2018,3,75,20242025,N,9,0,1,1
Adam Boqvist,FLA,R,D,2000-08-15,Falun,--,SWE,SWE,72,191,2018,1,8,20192020,N,9,0,2,2
Jacob Bernard-Docker,OTT,R,D,2000-06-30,Canmore,AB,CAN,CAN,73,198,2018,1,26,20202021,N,9,0,2,2
Declan Chisholm,MIN,L,D,2000-01-12,Bowmanville,ON,CAN,CAN,73,190,2018,5,150,20212022,N,9,0,2,2
Jayden Struble,MTL,L,D,2001-09-08,Cumberland,RI,USA,USA,72,207,2019,2,46,20232024,N,9,0,3,3
Kaiden Guhle,MTL,L,D,2002-01-18,Edmonton,AB,CAN,CAN,75,202,2020,1,16,20222023,N,9,1,4,5
Josh Doan,UTA,R,R,2002-02-01,Scottsdale,AZ,USA,USA,74,198,2021,2,37,20232024,N,9,1,1,2
Matt Coronato,CGY,R,R,2002-11-14,Greenlawn,NY,USA,USA,70,183,2021,1,13,20222023,N,9,4,1,5
Zachary L'Heureux,NSH,L,L,2003-05-15,Montréal,QC,CAN,CAN,71,197,2021,1,27,20242025,N,9,0,2,2
Simon Nemec,NJD,R,D,2004-02-15,Liptovský Mikulá,--,SVK,SVK,73,190,2022,1,2,20232024,N,9,0,1,1
Victor Mancini,NYR,R,D,2002-05-26,Hancock,MI,USA,USA,75,229,2022,5,159,20242025,N,9,1,3,4
Tyler Seguin,DAL,R,C,1992-01-31,Brampton,ON,CAN,CAN,74,201,2010,1,2,20102011,N,8,6,4,10
Bryan Rust,PIT,R,R,1992-05-11,Pontiac,MI,USA,USA,71,198,2010,3,80,20142015,N,8,3,1,4
Mathew Dumba,DAL,R,D,1994-07-25,Regina,SK,CAN,CAN,73,185,2012,1,7,20132014,N,8,0,0,0
Erik Gustafsson,DET,L,D,1992-03-14,Nynashamn,--,SWE,SWE,73,189,2012,4,93,20152016,N,8,0,2,2
Kyle Burroughs,LAK,R,D,1995-07-12,Vancouver,BC,CAN,CAN,72,193,2013,7,196,20202021,N,8,0,1,1
Ryan Hartman,MIN,R,R,1994-09-20,Hilton Head Island,SC,USA,USA,72,197,2013,1,30,20142015,N,8,3,1,4
Kasperi Kapanen,STL,R,R,1996-07-23,Kuopio,--,FIN,FIN,73,194,2014,1,22,20152016,N,8,1,0,1
Jakob Chychrun,WSH,L,D,1998-03-31,Boca Raton,FL,USA,CAN,74,205,2016,1,16,20162017,N,8,2,2,4
Vincent Desharnais,VAN,R,D,1996-05-29,Laval,QC,CAN,CAN,79,226,2016,7,183,20222023,N,8,0,1,1
Alexander Romanov,NYI,L,D,2000-01-06,Moscow,--,RUS,RUS,73,220,2018,2,38,20202021,N,8,0,2,2
Brett Leason,ANA,R,R,1999-04-30,Calgary,AB,CAN,CAN,77,220,2019,2,56,20212022,N,8,0,1,1
Matt Stienburg,COL,R,C,2000-10-07,Halifax,NS,CAN,CAN,73,182,2019,3,63,20242025,N,8,0,0,0
Marc Del Gaizo,NSH,L,D,1999-10-11,Basking Ridge,NJ,USA,USA,71,188,2019,4,109,20232024,N,8,0,2,2
Justin Barron,MTL,R,D,2001-11-15,Halifax,NS,CAN,CAN,74,198,2020,1,25,20212022,N,8,1,0,1
Jack Thompson,SJS,R,D,2002-03-19,Courtice,ON,CAN,CAN,73,189,2020,3,93,20232024,N,8,1,3,4
Mavrik Bourque,DAL,R,C,2002-01-08,Plessisville,QC,CAN,CAN,71,181,2020,1,30,20232024,N,8,1,1,2
Seamus Casey,NJD,R,D,2004-01-08,Miami,FL,USA,USA,69,162,2022,2,46,20242025,N,8,3,1,4
Marco Kasper,DET,L,C,2004-04-08,Innsbruck,--,AUT,AUT,73,183,2022,1,8,20222023,N,8,0,1,1
Jiri Kulich,BUF,L,C,2004-04-14,Kadan,--,CZE,CZE,73,190,2022,1,28,20232024,N,8,1,0,1
Zach Benson,BUF,L,L,2005-05-12,Chilliwack,BC,CAN,CAN,70,170,2023,1,13,20232024,N,8,1,1,2
Jared Spurgeon,MIN,R,D,1989-11-29,Edmonton,AB,CAN,CAN,69,166,2008,6,156,20102011,N,7,0,3,3
Tyson Barrie,CGY,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,7,1,1,2
Justin Holl,DET,R,D,1992-01-30,Tonka Bay,MN,USA,USA,76,194,2010,2,54,20172018,N,7,0,1,1
Oskar Sundqvist,STL,R,C,1994-03-23,Boden,--,SWE,SWE,75,220,2012,3,81,20152016,N,7,1,0,1
Matthew Benning,TOR,R,D,1994-05-25,Edmonton,AB,CAN,CAN,73,203,2012,6,175,20162017,N,7,0,0,0
