Day,Away Team,Home Team
Monday,Ottawa Senators,Nashville Predators
Tuesday,Minnesota,Boston Bruins
Tuesday,Columbus Blue Jackets,Buffalo Sabres
Tuesday,Ottawa Senators,Tampa Bay Lightning
Tuesday,New Jersey Devils,Pittsburgh Penguins
Tuesday,Florida Panthers,Washington Capitals
Tuesday,Vegas Golden Knights,New York Islanders
Tuesday,Edmonton Oilers,St. Louis Blues
Tuesday,Carolina Hurricanes,Winnipeg Jets
Tuesday,Toronto Maple Leafs,Calgary Flames
Tuesday,Philadelphia Flyers,Utah Hockey Club
Tuesday,Colorado Avalanche,Vancouver Canucks
Tuesday,Dallas Stars,Anaheim Ducks
Tuesday,Detroit Red Wings,Seattle Kraken
Tuesday,Montreal Canadiens,San Jose Sharks
Wednesday,Boston Bruins,New York Rangers
Wednesday,Edmonton Oilers,Chicago Blackhawks
Wednesday,Montreal Canadiens,Los Angeles Kings
Thursday,Ottawa Senators,Tampa Bay Lightning
Thursday,Vegas Golden Knights,New Jersey Devils
Thursday,Washington Capitals,Philadelphia Flyers
Thursday,Utah Hockey Club,Columbus Blue Jackets
Thursday,Florida Panthers,St. Louis Blues
Thursday,Carolina Hurricanes,Minnesota
Thursday,Colorado Avalanche,Calgary Flames
Thursday,Toronto Maple Leafs,Seattle Kraken
Thursday,Vancouver Canucks,San Jose Sharks
Friday,Pittsburgh Penguins,New York Rangers
Friday,New York Islanders,Winnipeg Jets
Friday,Nashville Predators,Chicago Blackhawks
Friday,Colorado Avalanche,Edmonton Oilers
Friday,Dallas Stars,Los Angeles Kings
Saturday,New Jersey Devils,Montreal Canadiens
Saturday,Tampa Bay Lightning,Detroit Red Wings
Saturday,Utah Hockey Club,Carolina Hurricanes
Saturday,Vegas Golden Knights,Boston Bruins
Saturday,Ottawa Senators,Florida Panthers
Saturday,Pittsburgh Penguins,Philadelphia Flyers
Saturday,New York Rangers,Columbus Blue Jackets
Saturday,Chicago Blackhawks,St. Louis Blues
Saturday,Toronto Maple Leafs,Vancouver Canucks
Saturday,Buffalo Sabres,Nashville Predators
Saturday,New York Islanders,Minnesota
Saturday,Seattle Kraken,Calgary Flames
Saturday,Anaheim Ducks,Los Angeles Kings
Saturday,Dallas Stars,San Jose Sharks
Sunday,Utah Hockey Club,Washington Capitals
Sunday,Tampa Bay Lightning,Montreal Canadiens
Saturday,Edmonton Oilers,Philadelphia Flyers
Saturday,Washington Capitals,Pittsburgh Penguins
Saturday,Minnesota,Detroit Red Wings
Saturday,New York Rangers,Buffalo Sabres
Saturday,Seattle Kraken,Florida Panthers
Saturday,Dallas Stars,New Jersey Devils
Saturday,Colorado Avalanche,Nashville Predators
Saturday,Anaheim Ducks,Boston Bruins
Saturday,Carolina Hurricanes,Toronto Maple Leafs
Saturday,Montreal Canadiens,Ottawa Senators
Saturday,Chicago Blackhawks,Columbus Blue Jackets
Saturday,Winnipeg Jets,St. Louis Blues
Saturday,Utah Hockey Club,Los Angeles Kings
Saturday,Vancouver Canucks,Vegas Golden Knights
Sunday,Edmonton Oilers,Washington Capitals
Sunday,New York Rangers,Pittsburgh Penguins
Sunday,Anaheim Ducks,Detroit Red Wings
Sunday,Seattle Kraken,Tampa Bay Lightning
Sunday,Colorado Avalanche,St. Louis Blues
Sunday,New Jersey Devils,Nashville Predators
Sunday,Toronto Maple Leafs,Chicago Blackhawks
Sunday,Dallas Stars,New York Islanders
Sunday,San Jose Sharks,Calgary Flames
Sunday,Vancouver Canucks,Utah Hockey Club